stkcod,stkdes,docdat,loccod,trnqty               ,tqucod, unitpr                 ,trnbal,newbal,
U-BKMX0969-2324,BINSIN-KM969-เทาส้ม[GREY/ORANGE],31/3/2015,01 ,312,คู่, 260.00 ,81120,,
U-BKMX0970-1215,BINSIN-KM970-ดำแดง[BLACK/RED],31/3/2015,01 ,504,คู่, 260.00 ,131040,,
U-BKMX0970-1222,BINSIN-KM970-ดำน้ำเงิน[BLACK/DR.BLUE],31/3/2015,01 ,516,คู่, 260.00 ,134160,,
U-BKMX0970-1329,BINSIN-KM970-ขาวทอง[WHITE/GOLD],31/3/2015,01 ,504,คู่, 260.00 ,131040,,
U-BKMX0970-2324,BINSIN-KM970-เทาส้ม[GREY/ORANGE],31/3/2015,01 ,492,คู่, 260.00 ,127920,,
U-BLXX1222-1231,BALLOON-L1222-ดำบานเย็น[BLACK/ROSE],31/3/2015,01 ,510,คู่, 65.00 ,33150,,
U-BLXX1222-1331,BALLOON-L1222-ขาวบานเย็น[WHITE/ROSE],31/3/2015,01 ,588,คู่, 65.00 ,38220,,
U-BLXX1222-1931,BALLOON-L1222-ฟ้าบานเย็น[LT.BLUE/ROSE],31/3/2015,01 ,594,คู่, 65.00 ,38610,,
U-BLXX1222-2719,BALLOON-L1222-ม่วงฟ้า[PURPLE/LT.BLUE],31/3/2015,01 ,318,คู่, 65.00 ,20670,,
U-BLXX1222-3125,BALLOON-L1222-บานเย็นชมพู[ROSE/PINK],31/3/2015,01 ,594,คู่, 65.00 ,38610,,
U-BLXX1222-3127,BALLOON-L1222-บานเย็นม่วง[ROSE/PURPLE],31/3/2015,01 ,318,คู่, 65.00 ,20670,,
U-BLXX2015-1231,BALLOON-L2015-ดำบานเย็น[BLACK/ROSE],31/3/2015,01 ,552,คู่, 65.00 ,35880,,
U-BLXX2015-1921,BALLOON-L2015-ฟ้าเหลือง[LT.BLUE/YELLOW],31/3/2015,01 ,564,คู่, 33.13 ,18684.82,,
